slide,source_png,chapter,kind,title,subtitle,web_image
30,30_ch-93_silver-light.png,-93,content,"Budhuā's answer, and the silver light",The Conch's Last Question  ·  शंखक अन्तिम प्रश्न    —    card 2 of 2,assets/images/0030.png
31,31_ch-92_title.png,-92,title,The Prisoner of the Water-Clock,जल-घड़ीक कैदी    Jal-ghaṛīk Kaidī,assets/images/0031.png
32,32_ch-92_water-clock.png,-92,content,"The village, and a farmer who cannot be heard",The Prisoner of the Water-Clock  ·  जल-घड़ीक कैदी    —    card 1 of 2,assets/images/0032.png
33,33_ch-92_unfinished-sentence.png,-92,content,"The unfinished sentence, and ""Loth""",The Prisoner of the Water-Clock  ·  जल-घड़ीक कैदी    —    card 2 of 2,assets/images/0033.png
34,34_ch-91_title.png,-91,title,The Light of the Cobblers' Quarter,चर्मकार टोलाक उजास    Carmakār Ṭolāk Ujās,assets/images/0034.png
35,35_ch-91_drum.png,-91,content,"A truth of Nyāya, learned from a drum",The Light of the Cobblers' Quarter  ·  चर्मकार टोलाक उजास    —    card 1 of 2,assets/images/0035.png
36,36_ch-91_forgetting.png,-91,content,The foundation the world forgets,The Light of the Cobblers' Quarter  ·  चर्मकार टोलाक उजास    —    card 2 of 2,assets/images/0036.png
37,37_ch-90_title.png,-90,title,Budhuā's Water-Burial,बुधुआक जलसमाधि    Budhuāk Jalasamādhi,assets/images/0037.png
38,38_ch-90_last-witness.png,-90,content,"The last witness, and a memory too heavy to carry",Budhuā's Water-Burial  ·  बुधुआक जलसमाधि    —    card 1 of 3,assets/images/0038.png
39,39_ch-90_water-burial.png,-90,content,The water-burial,Budhuā's Water-Burial  ·  बुधुआक जलसमाधि    —    card 2 of 3,assets/images/0039.png
40,40_ch-90_burhba-born.png,-90,content,"The birth of Būṛhbā, and ""twelve hundred years""",Budhuā's Water-Burial  ·  बुधुआक जलसमाधि    —    card 3 of 3,assets/images/0040.png
41,41_ch-89_title.png,-89,title,"First Night, First Flood","पहिल राति, पहिल बाढ़ि    Pahil Rāti, Pahil Bāṛhi",assets/images/0041.png
42,42_ch-89_spectator.png,-89,content,A witness who cannot save is only a spectator,"First Night, First Flood  ·  पहिल राति, पहिल बाढ़ि    —    card 1 of 2",assets/images/0042.png
43,43_ch-89_half-ghost.png,-89,content,"""A witness becomes half-ghost""","First Night, First Flood  ·  पहिल राति, पहिल बाढ़ि    —    card 2 of 2",assets/images/0043.png
44,44_ch-88_title.png,-88,title,The Witch's Accusation,डाइनक आरोप    Ḍāink Ārop,assets/images/0044.png
45,45_ch-88_manufactured.png,-88,content,An accusation built to order,The Witch's Accusation  ·  डाइनक आरोप    —    card 1 of 2,assets/images/0045.png
46,46_ch-88_torches.png,-88,content,"The charge, and the torches",The Witch's Accusation  ·  डाइनक आरोप    —    card 2 of 2,assets/images/0046.png
47,47_ch-87_title.png,-87,title,At the Quarter's Gate,टोलाक द्वारपर    Ṭolāk Dvārpar,assets/images/0047.png
48,48_ch-87_living-wall.png,-87,content,"A living wall, and a snuffed torch",At the Quarter's Gate  ·  टोलाक द्वारपर    —    card 1 of 1,assets/images/0048.png
49,49_ch-86_title.png,-86,title,The Crocodile of Time,समयक गोहि    Samayak Gohi,assets/images/0049.png
50,50_ch-86_three-visions.png,-86,content,Three visions across time,The Crocodile of Time  ·  समयक गोहि    —    card 1 of 2,assets/images/0050.png
51,51_ch-86_crocodile-of-time.png,-86,content,"Time is a crocodile, not a river",The Crocodile of Time  ·  समयक गोहि    —    card 2 of 2,assets/images/0051.png
52,52_ch-85_title.png,-85,title,The Amil's Order,आमिलक आदेश    Āmilak Ādeś,assets/images/0052.png
53,53_ch-85_axe-stopped.png,-85,content,"The axe, and the voice that stops it",The Amil's Order  ·  आमिलक आदेश    —    card 1 of 2,assets/images/0053.png
54,54_ch-85_yashpati-vanishes.png,-85,content,"Yaśpati vanishes, and a new fear",The Amil's Order  ·  आमिलक आदेश    —    card 2 of 2,assets/images/0054.png
55,55_ch-84_title.png,-84,title,The Silence of the Forest,जंगलक मौन    Jaṅgalak Maun,assets/images/0055.png
56,56_ch-84_track-ends-at-water.png,-84,content,A track that ends at the water,The Silence of the Forest  ·  जंगलक मौन    —    card 1 of 1,assets/images/0056.png
57,57_ch-83_title.png,-83,title,Sonmā the Fisherwoman,सोनमा माझिन    Sonmā Mājhin,assets/images/0057.png
58,58_ch-83_mul-gohi.png,-83,content,"The primal crocodile, and forgetting as nature",Sonmā the Fisherwoman  ·  सोनमा माझिन    —    card 1 of 1,assets/images/0058.png
59,59_ch-82_title.png,-82,title,The First Kabaddī,पहिल कबड्डी    Pahil Kabaḍḍī,assets/images/0059.png
60,60_ch-82_first-kabaddi.png,-82,content,"Witness and offering, joined in one game",The First Kabaddī  ·  पहिल कबड्डी    —    card 1 of 1,assets/images/0060.png
61,61_ch-81_title.png,-81,title,The Shadow of Invasion,आक्रमणक छाया    Ākramaṇak Chāyā,assets/images/0061.png
62,62_ch-81_invasion.png,-81,content,Children at play turn an army aside,The Shadow of Invasion  ·  आक्रमणक छाया    —    card 1 of 1,assets/images/0062.png
63,63_ch-80_title.png,-80,title,The First Line of the Song,गीतक पहिल पाँति    Gītak Pahil Pāṅti,assets/images/0063.png
64,64_ch-80_first-line.png,-80,content,The tale first set on paper — in plain speech,The First Line of the Song  ·  गीतक पहिल पाँति    —    card 1 of 1,assets/images/0064.png
65,65_ch-79_title.png,-79,title,The Raid of Forgiveness,क्षमाक पारी    Kṣamāk Pārī,assets/images/0065.png
66,66_ch-79_forgiveness.png,-79,content,A grandson returns what was taken,The Raid of Forgiveness  ·  क्षमाक पारी    —    card 1 of 1,assets/images/0066.png
67,67_ch-78_title.png,-78,title,Outside the Panjī,पंजीक बाहर    Panjīk Bāhar,assets/images/0067.png
68,68_ch-78_shadow-panji.png,-78,content,A shadow-register for the names left out,Outside the Panjī  ·  पंजीक बाहर    —    card 1 of 1,assets/images/0068.png
69,69_ch-77_title.png,-77,title,Būṛhbā's Silence,बूढ़बाक मौन    Būṛhbāk Maun,assets/images/0069.png
70,70_ch-77_silence.png,-77,content,The witness who was never witnessed,Būṛhbā's Silence  ·  बूढ़बाक मौन    —    card 1 of 1,assets/images/0070.png
71,71_ch-76_title.png,-76,title,The First Lesson on the Coconut Leaf,नारिकेल पातक पहिल पाठ    Nārikel Pātak Pahil Pāṭh,assets/images/0071.png
72,72_ch-76_coconut-leaf.png,-76,content,"Writing their own story, at last",The First Lesson on the Coconut Leaf  ·  नारिकेल पातक पहिल पाठ    —    card 1 of 1,assets/images/0072.png
73,73_ch-75_title.png,-75,title,The First Rebellion of Reason,तर्कक पहिल विद्रोह    Tarkak Pahil Vidroh,assets/images/0073.png
74,74_ch-75_rebellion.png,-75,content,"Doubt, and the mark by the water",The First Rebellion of Reason  ·  तर्कक पहिल विद्रोह    —    card 1 of 1,assets/images/0074.png
75,75_ch-74_title.png,-74,title,The Tree's Disease,गाछक रोग    Gāchak Rog,assets/images/0075.png
76,76_ch-74_tree-disease.png,-74,content,All quarters heal the witness-tree,The Tree's Disease  ·  गाछक रोग    —    card 1 of 1,assets/images/0076.png
77,77_ch-73_title.png,-73,title,Mohan's Melody,मोहनक धुन    Mohanak Dhun,assets/images/0077.png
78,78_ch-73_melody.png,-73,content,A name that becomes a sound,Mohan's Melody  ·  मोहनक धुन    —    card 1 of 1,assets/images/0078.png
79,79_ch-72_title.png,-72,title,The Marriage Witness,विवाहक साक्षी    Vivāhak Sākṣī,assets/images/0079.png
80,80_ch-72_marriage.png,-72,content,"A new hope, not a new tragedy",The Marriage Witness  ·  विवाहक साक्षी    —    card 1 of 1,assets/images/0080.png
81,81_ch-71_title.png,-71,title,The Night of the Epidemic,महामारीक राति    Mahāmārīk Rāti,assets/images/0081.png
82,82_ch-71_epidemic.png,-71,content,When the dead are too many to name one by one,The Night of the Epidemic  ·  महामारीक राति    —    card 1 of 1,assets/images/0082.png
83,83_ch-70_title.png,-70,title,The Planting of the Channā Grove,चन्ना गाछीक रोपाई    Channā Gāchīk Ropāī,assets/images/0083.png
84,84_ch-70_channa-grove.png,-70,content,A living library of names,The Planting of the Channā Grove  ·  चन्ना गाछीक रोपाई    —    card 1 of 1,assets/images/0084.png
85,85_ch-69_title.png,-69,title,The Tale of the Elephant and the Crocodile,गज-ग्राहक कथा    Gaj-Grāhak Kathā,assets/images/0085.png
86,86_ch-69_gaj-grah.png,-69,content,"Prayer and effort, never one alone",The Tale of the Elephant and the Crocodile  ·  गज-ग्राहक कथा    —    card 1 of 1,assets/images/0086.png
87,87_ch-68_title.png,-68,title,The Court's First Hearing,अदालतक पहिल तारीख    Adālatak Pahil Tārīkh,assets/images/0087.png
88,88_ch-68_courts-ghost.png,-68,content,The injustice of the date,The Court's First Hearing  ·  अदालतक पहिल तारीख    —    card 1 of 1,assets/images/0088.png
89,89_ch-67_title.png,-67,title,The Call of the Foreign Land,परदेशक पुकार    Pardeśak Pukār,assets/images/0089.png
90,90_ch-67_pardesh.png,-67,content,How memory reaches beyond the grove,The Call of the Foreign Land  ·  परदेशक पुकार    —    card 1 of 1,assets/images/0090.png
91,91_ch-66_title.png,-66,title,The Women's Night-Assembly,स्त्री सभक राति-सभा    Strī Sabhak Rāti-Sabhā,assets/images/0091.png
92,92_ch-66_womens-assembly.png,-66,content,"Out of the chaunki's dark, into the light",The Women's Night-Assembly  ·  स्त्री सभक राति-सभा    —    card 1 of 1,assets/images/0092.png
93,93_ch-65_title.png,-65,title,The Procession of the Fake Ghost,नकली भूतक जुलूस    Naklī Bhūtak Julūs,assets/images/0093.png
94,94_ch-65_fake-ghost.png,-65,content,"""A true witness never asks for money""",The Procession of the Fake Ghost  ·  नकली भूतक जुलूस    —    card 1 of 1,assets/images/0094.png
95,95_ch-64_title.png,-64,title,Sukhdev's Requital,सुखदेवक बदला    Sukhdevak Badlā,assets/images/0095.png
96,96_ch-64_requital.png,-64,content,"Requital as justice, not revenge",Sukhdev's Requital  ·  सुखदेवक बदला    —    card 1 of 1,assets/images/0096.png
97,97_ch-63_title.png,-63,title,The First Page of the Printing Press,छापाखानाक पहिल पन्ना    Chāpākhānāk Pahil Pannā,assets/images/0097.png
98,98_ch-63_printing-press.png,-63,content,The story that is not yet finished,The First Page of the Printing Press  ·  छापाखानाक पहिल पन्ना    —    card 1 of 1,assets/images/0098.png
99,99_ch-62_title.png,-62,title,Waiting for Relief,राहतक प्रतीक्षा    Rāhatak Pratīkṣā,assets/images/0099.png
100,100_ch-62_relief.png,-62,content,Witness and waiting are two different things,Waiting for Relief  ·  राहतक प्रतीक्षा    —    card 1 of 1,assets/images/0100.png
101,101_ch-61_title.png,-61,title,The Comet in the Sky,आकाशक पुच्छलतारा    Ākāśak Pucchaltārā,assets/images/0101.png
102,102_ch-61_comet.png,-61,content,"The star is a sign, not a cause",The Comet in the Sky  ·  आकाशक पुच्छलतारा    —    card 1 of 1,assets/images/0102.png
103,103_ch-60_title.png,-60,title,The Night of Fire,अगिनक राति    Aginak Rāti,assets/images/0103.png
104,104_ch-60_night-of-fire.png,-60,content,Memory and organization against the flames,The Night of Fire  ·  अगिनक राति    —    card 1 of 1,assets/images/0104.png
105,105_ch-59_title.png,-59,title,The Second Flood,दोसर बाढ़ि    Dosar Bāṛhi,assets/images/0105.png
106,106_ch-59_second-flood.png,-59,content,"The same flood, a village that learned to read water",The Second Flood  ·  दोसर बाढ़ि    —    card 1 of 1,assets/images/0106.png
107,107_ch-58_title.png,-58,title,The Third Calamity,तेसर बिपत्ति    Tesar Bipatti,assets/images/0107.png
108,108_ch-58_third-calamity.png,-58,content,Three knowledges against one disease,The Third Calamity  ·  तेसर बिपत्ति    —    card 1 of 1,assets/images/0108.png
109,109_ch-57_title.png,-57,title,The Sahib's Notebook,साहेबक नोटबुक    Sāhebak Noṭbuk,assets/images/0109.png
110,110_ch-57_sahibs-notebook.png,-57,note,"The story told from outside, and from within",The Sahib's Notebook  ·  साहेबक नोटबुक    —    card 1 of 1,assets/images/0110.png
111,111_ch-56_title.png,-56,title,The Call of Freedom,स्वाधीनताक पुकार    Svādhīnatāk Pukār,assets/images/0111.png
112,112_ch-56_call-of-freedom.png,-56,content,A new kind of kabaddī,The Call of Freedom  ·  स्वाधीनताक पुकार    —    card 1 of 1,assets/images/0112.png
113,113_ch-55_title.png,-55,title,The Dawn of Freedom,स्वतंत्रताक भोर    Svatantratāk Bhor,assets/images/0113.png
114,114_ch-55_dawn-of-freedom.png,-55,content,"Not the answer, but the right to ask",The Dawn of Freedom  ·  स्वतंत्रताक भोर    —    card 1 of 1,assets/images/0114.png
115,115_ch-54_title.png,-54,title,The End of Zamindari,जमींदारीक अन्त    Zamīndārīk Ant,assets/images/0115.png
116,116_ch-54_end-of-zamindari.png,-54,content,"Sukhdev's requital, made permanent",The End of Zamindari  ·  जमींदारीक अन्त    —    card 1 of 1,assets/images/0116.png
117,117_ch-53_title.png,-53,title,The First Electric Lamp,बिजलीक पहिल दीप    Bijlīk Pahil Dīp,assets/images/0117.png
118,118_ch-53_electric-lamp.png,-53,content,"New light, old wick",The First Electric Lamp  ·  बिजलीक पहिल दीप    —    card 1 of 1,assets/images/0118.png
119,119_ch-52_title.png,-52,title,The Border's Call,सीमाक पुकार    Sīmāk Pukār,assets/images/0119.png
120,120_ch-52_borders-call.png,-52,content,A name knows no border,The Border's Call  ·  सीमाक पुकार    —    card 1 of 1,assets/images/0120.png
121,121_ch-51_title.png,-51,title,The Seed of the Green Revolution,हरित क्रान्तिक बीया    Harit Krāntik Bīyā,assets/images/0121.png
122,122_ch-51_green-revolution.png,-51,content,"Progress, and the seed kept back",The Seed of the Green Revolution  ·  हरित क्रान्तिक बीया    —    card 1 of 1,assets/images/0122.png
123,123_ch-50_title.png,-50,title,The Darkness of the Emergency,आपातकालक अन्हार    Āpātkālak Anhār,assets/images/0123.png
124,124_ch-50_emergency.png,-50,content,Tending the inner light,The Darkness of the Emergency  ·  आपातकालक अन्हार    —    card 1 of 1,assets/images/0124.png
125,125_ch-49_title.png,-49,title,The Year of Drought,सूखाक बरख    Sūkhāk Barakh,assets/images/0125.png
126,126_ch-49_drought.png,-49,content,"The state and the village, together",The Year of Drought  ·  सूखाक बरख    —    card 1 of 1,assets/images/0126.png
127,127_ch-48_title.png,-48,title,The Voice of Radio and Television,रेडियो आ टेलीविजनक अवाज    Reḍiyo ā Ṭelivijanak Avāj,assets/images/0127.png
128,128_ch-48_radio-tv.png,-48,content,The inner voice amid the outer noise,The Voice of Radio and Television  ·  रेडियो आ टेलीविजनक अवाज    —    card 1 of 1,assets/images/0128.png
129,129_ch-47_title.png,-47,title,The Gulf Market,खाड़ी देशक बजार    Khāṛī Deśak Bajār,assets/images/0129.png
130,130_ch-47_gulf-market.png,-47,content,A new call of the foreign land,The Gulf Market  ·  खाड़ी देशक बजार    —    card 1 of 1,assets/images/0130.png
131,131_ch-46_title.png,-46,title,The Test of Harmony,सद्भावक परीक्षा    Sadbhāvak Parīkṣā,assets/images/0131.png
132,132_ch-46_harmony.png,-46,content,Shared memory against imported division,The Test of Harmony  ·  सद्भावक परीक्षा    —    card 1 of 1,assets/images/0132.png
133,133_ch-45_title.png,-45,title,The Wind of Liberalization,उदारीकरणक हवा    Udārīkaraṇak Havā,assets/images/0133.png
134,134_ch-45_liberalization.png,-45,content,Deepen the root against the fast wind,The Wind of Liberalization  ·  उदारीकरणक हवा    —    card 1 of 1,assets/images/0134.png
135,135_ch-44_title.png,-44,title,The First Computer,पहिल कम्प्यूटर    Pahil Kampyuṭar,assets/images/0135.png
136,136_ch-44_first-computer.png,-44,content,The medium changes; the soul must not,The First Computer  ·  पहिल कम्प्यूटर    —    card 1 of 1,assets/images/0136.png
137,137_ch-43_title.png,-43,title,The Drying River,सुखल होइत धार    Sukhal Hoit Dhār,assets/images/0137.png
138,138_ch-43_drying-river.png,-43,content,"A new crocodile — of water, air, and soil",The Drying River  ·  सुखल होइत धार    —    card 1 of 1,assets/images/0138.png
139,139_ch-42_title.png,-42,title,The Miracle of the Handheld Phone,हाथक फोनक चमत्कार    Hāthak Phonak Camatkār,assets/images/0139.png
140,140_ch-42_mobile-phone.png,-42,content,"The far comes near, the near must not go far",The Miracle of the Handheld Phone  ·  हाथक फोनक चमत्कार    —    card 1 of 1,assets/images/0140.png
141,141_ch-41_title.png,-41,title,The City Market,शहरक बजार    Śaharak Bajār,assets/images/0141.png
142,142_ch-41_city-market.png,-41,content,Go far from the root without cutting it,The City Market  ·  शहरक बजार    —    card 1 of 1,assets/images/0142.png
143,143_ch-40_title.png,-40,title,The Right to Information,सूचनाक अधिकार    Sūcanāk Adhikār,assets/images/0143.png
144,144_ch-40_rti.png,-40,content,Shadow and light become one,The Right to Information  ·  सूचनाक अधिकार    —    card 1 of 1,assets/images/0144.png
145,145_ch-39_title.png,-39,title,The Guarantee of Work,काजक गारंटी    Kājak Gāraṇṭī,assets/images/0145.png
146,146_ch-39_work-guarantee.png,-39,content,A good law needs a constant watch,The Guarantee of Work  ·  काजक गारंटी    —    card 1 of 1,assets/images/0146.png
147,147_ch-38_title.png,-38,title,The Web of the Internet,इंटरनेटक जाल    Iṇṭarneṭak Jāl,assets/images/0147.png
148,148_ch-38_internet-web.png,-38,content,"Gaṅgeśa's four proofs, made a daily necessity",The Web of the Internet  ·  इंटरनेटक जाल    —    card 1 of 1,assets/images/0148.png
149,149_ch-37_title.png,-37,title,The First Shadow of the Screen,स्क्रीनक पहिल छाया    Skrīnak Pahil Chāyā,assets/images/0149.png
150,150_ch-37_screen-shadow.png,-37,content,The ghost of darkness cannot stand in light,The First Shadow of the Screen  ·  स्क्रीनक पहिल छाया    —    card 1 of 1,assets/images/0150.png
151,151_ch-36_title.png,-36,title,The First Footfall of the Unseen Swindler,अनदेखल ठगक पहिल आहट    Andekhal Ṭhagak Pahil Āhaṭ,assets/images/0151.png
152,152_ch-36_unseen-swindler.png,-36,content,"A crocodile with no body, no water",The First Footfall of the Unseen Swindler  ·  अनदेखल ठगक पहिल आहट    —    card 1 of 1,assets/images/0152.png
153,153_ch-35_title.png,-35,title,The Market of Bodies Opens,देहक बजार खुजैत अछि    Dehak Bajār Khujait Achi,assets/images/0153.png
154,154_ch-35_body-market.png,-35,content,The question is the only weapon,The Market of Bodies Opens  ·  देहक बजार खुजैत अछि    —    card 1 of 1,assets/images/0154.png
155,155_ch-34_title.png,-34,title,The Vision of Ujjwal,उज्ज्वलक स्वप्न    Ujjwalak Svapna,assets/images/0155.png
156,156_ch-34_ujjwal-vision.png,-34,content,A name held from the first night,The Vision of Ujjwal  ·  उज्ज्वलक स्वप्न    —    card 1 of 1,assets/images/0156.png
157,157_ch-33_title.png,-33,title,The Shadow of the Lawyer's Coat,वकीलक कोटक छाया    Vakīlak Koṭak Chāyā,assets/images/0157.png
158,158_ch-33_lawyer-shadow.png,-33,content,No one is born guilty,The Shadow of the Lawyer's Coat  ·  वकीलक कोटक छाया    —    card 1 of 1,assets/images/0158.png
159,159_ch-32_title.png,-32,title,The Shadow from Across the Sea,समुद्रपारक साये    Samudrapārak Sāye,assets/images/0159.png
160,160_ch-32_overseas-shadow.png,-32,content,"The crocodile changes water, remains the crocodile",The Shadow from Across the Sea  ·  समुद्रपारक साये    —    card 1 of 1,assets/images/0160.png
161,161_ch-31_title.png,-31,title,Satyavrat's Silence,सत्यव्रतक मौन    Satyavratak Maun,assets/images/0161.png
162,162_ch-31_satyavrat-silence.png,-31,content,When silence becomes injustice,Satyavrat's Silence  ·  सत्यव्रतक मौन    —    card 1 of 1,assets/images/0162.png
163,163_ch-30_title.png,-30,title,Gop Kumar's Document,गोप कुमारक दस्तावेज    Gop Kumārak Dastāvej,assets/images/0163.png
164,164_ch-30_gop-kumar-document.png,-30,content,A bridge across the centuries,Gop Kumar's Document  ·  गोप कुमारक दस्तावेज    —    card 1 of 1,assets/images/0164.png
165,165_ch-29_title.png,-29,title,Chandrapāl's Dream,चन्द्रपालक सपना    Chandrapālak Sapnā,assets/images/0165.png
166,166_ch-29_chandrapal-dream.png,-29,content,The watch that leaves the village bounds,Chandrapāl's Dream  ·  चन्द्रपालक सपना    —    card 1 of 1,assets/images/0166.png
167,167_ch-28_title.png,-28,title,Rāghav's Code,राघवक कोड    Rāghavak Koḍ,assets/images/0167.png
168,168_ch-28_raghav-code.png,-28,content,A sword is neither good nor bad,Rāghav's Code  ·  राघवक कोड    —    card 1 of 1,assets/images/0168.png
169,169_ch-27_title.png,-27,title,Āruṇi's Construction,आरुणिक निर्माण    Āruṇik Nirmāṇ,assets/images/0169.png
170,170_ch-27_aruni-construction.png,-27,content,Building is not enough — keeping alive is,Āruṇi's Construction  ·  आरुणिक निर्माण    —    card 1 of 1,assets/images/0170.png
171,171_ch-26_title.png,-26,title,Devikā's Song,देविकाक गीत    Devikāk Gīt,assets/images/0171.png
172,172_ch-26_devika-song.png,-26,content,A name dwells in a song,Devikā's Song  ·  देविकाक गीत    —    card 1 of 1,assets/images/0172.png
173,173_ch-25_title.png,-25,title,Mīrā's Privacy,मीराक निजता    Mīrāk Nijatā,assets/images/0173.png
174,174_ch-25_mira-privacy.png,-25,content,The right to privacy is the right to the name,Mīrā's Privacy  ·  मीराक निजता    —    card 1 of 1,assets/images/0174.png
175,175_ch-24_title.png,-24,title,Niśānt's Bank,निशांतक बैंक    Niśāntak Baiṅk,assets/images/0175.png
176,176_ch-24_nishant-bank.png,-24,content,Sharing knowledge is real inclusion,Niśānt's Bank  ·  निशांतक बैंक    —    card 1 of 1,assets/images/0176.png
177,177_ch-23_title.png,-23,title,The Birth of Nand,नन्दक जन्म    Nandak Janma,assets/images/0177.png
178,178_ch-23_nand-birth.png,-23,content,The village's next witness,The Birth of Nand  ·  नन्दक जन्म    —    card 1 of 1,assets/images/0178.png
179,179_ch-22_title.png,-22,title,Near Twelve Hundred,बारह सयक निकट    Bārah Sayak Nikaṭ,assets/images/0179.png
180,180_ch-22_twelve-hundred.png,-22,content,"A number, and the tale behind it",Near Twelve Hundred  ·  बारह सयक निकट    —    card 1 of 1,assets/images/0180.png
181,181_ch-21_title.png,-21,title,Ananyā's Question,अनन्याक प्रश्न    Ananyāk Praśna,assets/images/0181.png
182,182_ch-21_ananya-question.png,-21,content,The weapon Nand will need,Ananyā's Question  ·  अनन्याक प्रश्न    —    card 1 of 1,assets/images/0182.png
183,183_ch-20_title.png,-20,title,The First Reckoning of the Plunge,छपाकक पहिल हिसाब    Chapākak Pahil Hisāb,assets/images/0183.png
184,184_ch-20_reckoning-plunge.png,-20,content,The bridge of the name,The First Reckoning of the Plunge  ·  छपाकक पहिल हिसाब    —    card 1 of 1,assets/images/0184.png
185,185_ch-19_title.png,-19,title,Satyavrat's Decision,सत्यव्रतक निर्णय    Satyavratak Nirṇay,assets/images/0185.png
186,186_ch-19_satyavrat-decision.png,-19,content,The evidence must speak,Satyavrat's Decision  ·  सत्यव्रतक निर्णय    —    card 1 of 1,assets/images/0186.png
187,187_ch-18_title.png,-18,title,The Meeting of Ananyā and Nand,अनन्या आ नन्दक भेंट    Ananyā ā Nandak Bheṇṭ,assets/images/0187.png
188,188_ch-18_ananya-nand-meeting.png,-18,content,"Question and construction, joined",The Meeting of Ananyā and Nand  ·  अनन्या आ नन्दक भेंट    —    card 1 of 1,assets/images/0188.png
